PID,Social Media Post,Normalized Claim,post
576,"Hindu and Hindutva wadi will be Thrown out.. we should Throw ?? Where do you Throw.. out of the Nation or politics. Rahul Gandhi to clarify.Hindus didn't Defeated or Thrown.. Hindus repeated the history.. Hindu's will repeat the history remember.
 @RahulGandhi
  #CongressMuktBharat",Hindu and Hindutva wadi will be Thrown out.. we should Throw ?? Where do you Throw.. out of the Nation or politics. Rahul Gandhi to clarify.Hindus didn't Defeated or Thrown.. Hindus repeated the history.. Hindu's will repeat the history remember.,hindu and hindutva wadi will be thrown out.. we should throw ?? where do you throw.. out of the nation or politics. rahul gandhi to clarify.hindus did not defeated or thrown.. hindus repeated the history.. hindus will repeat the history remember. rahulgandhi congressmuktbharat
577,There is no evidence of differences in the proportions testing positive for COVID-19 between the age categories,Children and adults have the same chance of getting ill from Covid-19.,there is no evidence of differences inch the proportions testing positive for covid19 between the age categories
578,"A research from US Report- Premium salt in India contains deadly cyanide.
 Beware.",Branded Salt contains cyanide,a research from us report premium salt inch india contains deadly cyanide. beware.
579,"Our products are completely animal free AND plastic-free! Our clothing is also certified net carbon neutral, created from natural or recycled materials in fair trade factories, printed using water-based inks, and made to last",Animal agriculture is the biggest contributor to climate change,"our products are completely animal free and plasticfree! our clothing is also certified net carbon neutral, created from natural or recycled materials inch fair trade factories, printed using waterbased inks, and made to last"
580,"Iran sentences 15,000 to death - as a 'hard lesson' for all rebels","Iran has sentenced around 15,000 protesters to death.","iran sentences 15,000 to death as a hard lesson for all rebels"
581,"How has no one in the media found this Anthony Fauci clip sooner?
He actually makes sense.
Source: C-SPAN","A (2004) interview shows Dr. Anthony Fauci, Director of the U.S. National Institute of Allergy and Infectious Diseases talking about innate immunity against flu. On social media, multiple media users have linked this old interview with Covid-19 virus to claim that Dr. Fauci’s advice should apply equally to Covid patients. We fact-checked and found the claim to Mostly False.",how has no one inch the media found this anthony fauci clip sooner? he actually makes sense. source cspan
582,"Joe Biden completely botches the Pledge of Allegiance:
 
 ""I pledge allegiance to the United States of America, one nation, indivisible, under God, for real.""",Claim: Joe Biden botches recitation of the Pledge of Allegiance,"joe biden completely botches the pledge of allegiance i pledge allegiance to the united states of america, one nation, indivisible, under god, for real."
583,If positive results are received the school will secure the individual concerned and in the case of students inform parents/ carer immediately we will then operate our usual process of identifying others who may have been in close or direct contact for our self isolation system will be put in place.,A letter sent by a Liverpool school claimed consent wasn’t needed to test children for Covid-19 during a city-wide testing scheme.,if positive results are received the school will secure the individual concerned and inch the case of students inform parents carer immediately we will then operate our usual process of identifying others who may have been inch close or direct contact for our self isolation system will be put inch place.
584,"Seems all of Delhi is going to be behind bars for the next 6 months.
 
 Btw, Happy Diwali to all Delhiites
 
 #firecrackers #CrackerBan","Seems all of Delhi is going to be behind bars for the next 6 months.

Btw, Happy Diwali to all Delhiites🪔🎇🎆🧨🪅","seems all of delhi is going to be behind bars for the next 6 months. by the way, happy diwali to all delhiites firecrackers crackerban"
585,Looking forward to the fact check on this one.,unvaccinated people not dying from Covid-19,looking forward to the fact check on this one.
586,"It's National Lead Poisoning Prevention Week. I'm so glad we have a Governor who cares and wants to help WI cities get to 0% lead piping.
 
 Sadly, in 2019, Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.","""In 2019, Republicans stripped $40 million from the budget for lead pipe replacement - because they thought it helped MKE too much.""","it is national lead poisoning prevention week. i am so glad we have a governor who cares and wants to help wi cities get to 0 lead piping. sadly, inch 2019, republicans stripped 40 million from the budget for lead pipe replacement because they thought it helped mke too much."
587,"No wonder they are killing chickens & creating an egg shortage!! 
 
 Researchers create COVID-19 antibodies from eggs - study - The Jerusalem Post",The findings of these studies are linked to egg shortages.,no wonder they are killing chickens creating an egg shortage!! researchers create covid19 antibodies from eggs study the jerusalem post
588,"As I learn more and more each day, I am coming to the conclusion that what is taking place is not an impeachment, it is a COUP, intended to take away the Power of the....","""As I learn more and more each day, I am coming to the conclusion that what is taking place is not an impeachment, it is a COUP.""","as i learn more and more each day, i am coming to the conclusion that what is taking place is not an impeachment, it is a coup, intended to take away the power of the...."
589,Bharat joda yatra Bellary .. This enough to spoil few diapers .,Bharat joda yatra Bellary 🦾🦾.. This enough to spoil few diapers .,bharat joda yatra bellary .. this enough to spoil few diapers .
590,"We need to raise NC teacher pay to at least the national average - which is where it was back when I was in public school. 
 
 I benefited from our state meeting that challenge and now we need to meet it again for the next generation.","Says North Carolina's average teacher salary was at the national average ""back when I was in public school.""",we need to raise nc teacher pay to at least the national average which is where it was back when i was inch public school. i benefited from our state meeting that challenge and now we need to meet it again for the next generation.
591,"not only is public transport free in Brussels, but they even have a bus called ""Not The 48"" which takes you to a mystery location if you're feeling a bit down or you just don't have anything to do that day
 
 something for other cities to consider",Public transport is free in Brussels and there is a bus there called “not the 48” which takes you to a mystery location.,"not only is public transport free inch brussels, but they even have a bus called not the 48 which takes you to a mystery location if you are feeling a bit down or you just do not have anything to do that day something for other cities to consider"
592,"#Men #brotherhood
The scene is the final of men's high jump at the #Tokyo2020 Olympics. Italy's Gianmarco Tamberi was facing Qatar's Mutaz Essa Barshim in the final. Both of them jumped 2.37 meters and were on par. Olympic officials gave three more attempts to each of them, but they were unable to reach more than 2.37 meters.
One more attempt was given to two both of them. The moment when there was no other opponent in front of Barshim, the moment when he could have easily approached the gold alone !
But Barshim asked the official ""if the gold can be shared between the two of us if I withdraw from the final attempt ?"" The official checks and confirms and says ""yes then the gold will be shared between the two of you"". Barshim then had nothing to think about, announces withdrawal from the last attempt.
Seeing this, the Italian opponent Tamberi ran and hugged Barshim and screamed ! What we saw there was a great share of love in sports that touches our hearts. It reveals the indescribable sportsmanship that makes religions, colors and borders irrelevant !!!",Qatar’s Barshim decided to share the men’s high jump gold medal with Italy’s Tamberi in Tokyo Olympics after Tamberi withdrew from the last attempt due to a serious leg injury,"men brotherhood the scene is the final of mens high jump at the tokyo2020 olympics. italys gianmarco tamberi was facing qatars mutaz essa barshim inch the final. both of them jumped 2.37 meters and were on par. olympic officials gave three more attempts to each of them, but they were unable to reach more than 2.37 meters. one more attempt was given to two both of them. the moment when there was no other opponent inch front of barshim, the moment when he could have easily approached the gold alone ! but barshim asked the official if the gold can be shared between the two of us if i withdraw from the final attempt ? the official checks and confirms and says yes then the gold will be shared between the two of you. barshim then had nothing to think about, announces withdrawal from the last attempt. seeing this, the italian opponent tamberi ran and hugged barshim and screamed ! what we saw there was a great share of love inch sports that touches our hearts. it reveals the indescribable sportsmanship that makes religions, colors and borders irrelevant !!!"
593,"On 20 December (2021), a number of documents were submitted at a west London police station in support of allegations of criminality in relation to the UK",The Metropolitan Police is investigating the Covid-19 vaccine programme.,"on 20 december 2021, a number of documents were submitted at a west london police station inch support of allegations of criminality inch relation to the uk"
594,Monkey Pox looks like the Leprosy cartoon pictures that used to be in the Bible study and VBS lessons,Monkeypox is another name for leprosy,monkey pox looks like the leprosy cartoon pictures that used to be inch the bible study and vbs lessons
595,#FacebookReelsContest,The claim: There is no proof HIV is the cause of AIDS,facebookreelscontest
596,"So who's really to blame here? In 2010 Bob Brown led the Australian Greens with the ALP which allowed Prime Minister Julia Gillard to form government. As a result of this the Greens gained the balance of power and signed the Native Forest Protection Act, which defunded National Park Rangers and Control Burn Programs.",Australia’s brutal bushfire season might be easing but efforts to assign blame for the disaster continue to blaze on social media.,"so who is really to blame here? inch 2010 bob brown led the australian greens with the alp which allowed prime minister julia gillard to form government. as a result of this the greens gained the balance of power and signed the native forest protection act, which defunded national park rangers and control burn programs."
597,"We should be investing in jobs and education, not more jails and incarceration."," ""Last year, South Carolina spent $21,756 per prison inmate and $11,552 per student.""","we should be investing inch jobs and education, not more jails and incarceration."
598,"When a registered dealer refuses cash for goods, the goods are yours for free","If a registered business refuses cash for goods, the goods are free.","when a registered dealer refuses cash for goods, the goods are yours for free"
599,"Italian Higher Institute of Health Adjusts Number of Deaths Due to Covid Alone Since February 2020 Downwards From Over 130,000 to under 4,000","The National Health Institute in Italy has recalculated the Covid-19 death toll from 130,468 down to 3,783 directly due to Covid-19, or 2.9% of the total.","italian higher institute of health adjusts number of deaths due to covid alone since february 2020 downwards from over 130,000 to under 4,000"
600,"Unless every state government comes up with supporting it's farmers like this, Pollution can't be tackled. (UP Farmers need not burn the stubble)","The UP government is procuring stubble from farmers, nearly 5000 quintals of stubble is procured, and farmers are given cow dung in return","unless every state government comes up with supporting it is farmers like this, pollution cannot be tackled. up farmers need not burn the stubble"
601,Mic is off but comedy is ON,Mic is off but comedy is ON,mic is off but comedy is on
602,Mike Pence caught on hot mic delivering empty boxes of PPE for a PR stunt.,Mike Pence carried empty boxes of PPE into a medical facility as a publicity stunt.,mike pence caught on hot mic delivering empty boxes of ppe for a public relations stunt.
603,They will try everything to steal it. We will not let them!,The claim: Results of Arizona gubernatorial race aired ahead of Election Day show attempt to steal election,they will try everything to steal it. we will not let them!
604,"TAOB SI LENI SA PABAHAY NI PBBM! 3K UNITS PATAPOS NA,DI BINABALITA NG MEDIA? TIKTOKER MAY BWELTA!
Thank for watching","Bongbong” Marcos’ housing project in Deparo, Caloocan has 3,000 units, and the media has not reported about it","taob si leni sa pabahay ni pbbm! 3k units patapos na,di binabalita ng media? tiktoker may bwelta! thank for watching"
605,"WEF globalism
They don't even try to hide this stuff.....",European Central Bank president discusses gene therapy at WEF conference,wef globalism they do not even try to hide this stuff.....
606,"This is a Rohingya family. Destitute on a road in Delhi. Together with 8 children, 3 wives, out of which 2 are also pregnant. In hand is Samsung C7 pro mobile which costs only Rs 29,000. The opposition is sad to see their condition, so keep paying taxes on time.","This is a Rohingya family. Destitute on a road in Delhi. Together with 8 children, 3 wives, out of which 2 are also pregnant. In hand is Samsung C7 pro mobile which costs only Rs 29,000. The opposition is sad to see their condition","this is a rohingya family. destitute on a road inch delhi. together with 8 children, 3 wives, out of which 2 are also pregnant. inch hand is samsung c7 pro mobile which costs only rs 29,000. the opposition is sad to see their condition, so keep paying taxes on time."
607,"The United States was supposed to be in Syria for 30 days, that was many years ago. We stayed and got deeper and deeper into battle with no aim in sight. When I arrived in Washington, ISIS was running rampant in the area. We quickly defeated 100% of the ISIS Caliphate,.....","""The United States was supposed to be in Syria for 30 days, that was many years ago.""","the united states was supposed to be inch syria for 30 days, that was many years ago. we stayed and got deeper and deeper into battle with no aim inch sight. when i arrived inch washington, isis was running rampant inch the area. we quickly defeated 100 of the isis caliphate,....."
608,coronavirus vaccine caused liver inflammation in test animals,"All animals used in Covid-19 vaccine trials died months later from immune disorders, sepsis and/or cardiac failure.",coronavirus vaccine caused liver inflammation inch test animals
609,"This is the condition of examination centres and govt. wants to conduct exam's . 
 @Swamy39
  @DrRPNishank
  @PMOIndia
 #SpeakUpForStudentSafety
 #neetJEE2020 
 #PostponeNEET_JEEinCovid",Images of flood-hit JEE and NEET 2020 examination centres in India,this is the condition of examination centres and govt. wants to conduct exams . swamy39 drrpnishank pmoindia speakupforstudentsafety neetjee2020 postponeneetjeeincovid
610,"There were 229,000 new cases of coronavirus in the world yesterday. The UK provided 20% of them. 1 in 5 of the new cases in the whole world was on our little island.","The UK provided 20% of the new cases of coronavirus in the world on Sunday, 17 October 2021.","there were 229,000 new cases of coronavirus inch the world yesterday. the uk provided 20 of them. 1 inch 5 of the new cases inch the whole world was on our little island."
611,"being vegan for a year saves 365 animals, 1,000 square metres of forest, 3,320 kg of CO2, and 6,670 kg of grain. ",Being vegan for a year saves 365 animals.,"being vegan for a year saves 365 animals, 1,000 square metres of forest, 3,320 kilogram of co2, and 6,670 kilogram of grain."
612,The money the Tories spaffed on Test & Trace would have paid for a 15% pay rise for every NHS worker from now until 2058. They took that money & gave it to their pals.,The money wasted on NHS Test and Trace would have paid for a 15% pay rise for every NHS worker from now until 2058.,the money the tories spaffed on test trace would have paid for a 15 pay rise for every nhs worker from now until 2058. they took that money gave it to their pals.
613,@KillzBillzz,“Central Park actually used to be a town called Seneca Village” founded by African Americans in 1825.,killzbillzz
614,Ellen degeneres is on house arrest for child sex trafficking,"Ellen, Oprah, Tom Hanks and many other well-known politicians and celebrities are under house arrest for child sex trafficking",ellen degeneres is on house arrest for child sex trafficking
615,This is a historic picture of Kejriwal submitting written apology to Nitin Gadkari for making false allegations!,Picture of Kejriwal submitting written apology to Nitin Gadkari for making false allegations!,this is a historic picture of kejriwal submitting written apology to nitin gadkari for making false allegations!
616,"Extraordinary footage tracking a million people demanding a new Brexit vote. Now released by 
 @BBCPolitics
  but censored from 
 @BBCNews
  at the time.",Footage of a million people attending the People’s Vote march in March 2019 was censored by BBC News at the time but has now been released by BBC Politics.,extraordinary footage tracking a million people demanding a new brexit vote. now released by bbcpolitics but censored from bbcnews at the time.
617,"BIZARRE ADVISORY BY CANADA
 
 #Canada has advised its citizens to avoid all travel to areas in states of #Gujarat, #Punjab and #Rajasthan, which share a border with Pakistan due to the ""presence of landmines"" and ""unpredictable security situation"".","Canada lost it or what ? 🧐  #Canada has advised its citizens to avoid all travel to areas in states of #Gujarat, #Punjab and #Rajasthan, which share a border with Pakistan due to the “presence of landmines” and “unpredictable security situation.”","bizarre advisory by canada canada has advised its citizens to avoid all travel to areas inch states of gujarat, punjab and rajasthan, which share a border with pakistan due to the presence of landmines and unpredictable security situation."
618,"Pineapple is that fruit which is readily available in all supermarket stores and market and is eaten in many homes around the world.
Pineapples are very common that people can choose to eat them any how they want, they can eat them in solid form, dried, or even in juice form.
In some countries, pineapple is not only loved for its sweet taste but also it has been used for centuries to cure digestion issues and inflammation.
#happyhealth 
Visit lnk.bio for more",pineapple can improve bone health,"pineapple is that fruit which is readily available inch all supermarket stores and market and is eaten inch many homes around the world. pineapples are very common that people can choose to eat them any how they want, they can eat them inch solid form, dried, or even inch juice form. inch some countries, pineapple is not only loved for its sweet taste but also it has been used for centuries to cure digestion issues and inflammation. happyhealth visit lnk.bio for more"
619,"Horrific. Tsunami after the earthquake hit the coast of Turkey. Recently released update so far 2,379 people have been killed and 13,293 injured. #TurkeyEarthquake",Visuals of Tsunami waves that hit Turkey after the earthquake on 06 February 2023,"horrific. tsunami after the earthquake hit the coast of turkey. recently released update so far 2,379 people have been killed and 13,293 injured. turkeyearthquake"
620,"Colloidal silver is a big-time go to almost any type of health issues especially if you are worried about covid-19. 
 
 It can aid in wound healing, improve skin disorders, & either prevent or treat diseases like flu, pneumonia, herpes, eye infections, shingles, cancer, and AIDS.",colloidal silver can be used to treat COVID-19,"colloidal silver is a bigtime go to almost any type of health issues especially if you are worried about covid19. it can aid inch wound healing, improve skin disorders, either prevent or treat diseases like flu, pneumonia, herpes, eye infections, shingles, cancer, and acquired immunodeficiency syndrome."
621,"The Gambling Commission found that overall, gambling was down during lockdown due to the loss of things like football",Betting on online slot machines has increased by 25% during lockdown.,"the gambling commission found that overall, gambling was down during lockdown due to the loss of things like football"
622,"[...] so in the situation that you just gave, a Ukrainian living and working here, you will be able to bring your family here to the UK under the Extended Family Scheme",Ukrainians in the UK on a work visa can bring family members to the UK under the Ukraine Family Scheme.,"... so inch the situation that you just gave, a ukrainian living and working here, you will be able to bring your family here to the uk under the extended family scheme"
623,"Colloidal silver is a big-time go to almost any type of health issues especially if you are worried about covid-19. 
 
 It can aid in wound healing, improve skin disorders, & either prevent or treat diseases like flu, pneumonia, herpes, eye infections, shingles, cancer, and AIDS.","A social media claims that colloidal silver treat almost any type of health issues, including COVID-19. We fact-checked and found this claim to be Mostly False. ","colloidal silver is a bigtime go to almost any type of health issues especially if you are worried about covid19. it can aid inch wound healing, improve skin disorders, either prevent or treat diseases like flu, pneumonia, herpes, eye infections, shingles, cancer, and acquired immunodeficiency syndrome."
624,"13,783 cases of Shingles (one of the adverse effects of C19 jab) are reported on the Vaccine Adverse Event Reporting System. Seems like Shingles is being termed as monkey pox. Soon, more jabs would be injected to control this ""monkeypox"". And that would cause another side effect!","13,783 cases of shingles, one of the adverse reactions of the Covid vaccines, are reported on the Vaccine Adverse Event Reporting System.","13,783 cases of shingles one of the adverse effects of c19 jab are reported on the vaccine adverse event reporting system. seems like shingles is being termed as monkey pox. soon, more jabs would be injected to control this monkeypox. and that would cause another side effect!"
625,"LET ME GET THIS STRAIGHT... A PARTY THAT SUPPORTS ABORTION OVER LIFE, ILLEGALS OVER IT'S OWN CITIZENS, AND REFUGEES OVER IT'S HOMELESS VETERANS, IS GOING TO LECTURE ME ON MORALS? I DON'T THINK SO CUPCAKE.",Sam Elliott Does Not Support Political Party Of Abortion,"let me get this straight... a party that supports abortion over life, illegals over it is own citizens, and refugees over it is homeless veterans, is going to lecture me on morals? i do not think so cupcake."
626,"RIGGED 2020 ELECTION: MILLIONS OF MAIL-IN BALLOTS WILL BE PRINTED BY FOREIGN COUNTRIES, AND OTHERS. IT WILL BE THE SCANDAL OF OUR TIMES!","RIGGED 2020 ELECTION: MILLIONS OF MAIL-IN BALLOTS WILL BE PRINTED BY FOREIGN COUNTRIES, AND OTHERS. IT WILL BE THE SCANDAL OF OUR TIMES!","rigged 2020 election millions of mailinch ballots will be printed by foreign countries, and others. it will be the scandal of our times!"
627,"My Build Back Better Agenda costs zero dollars. 
  
 Instead of wasting money on tax breaks, loopholes, and tax evasion for big corporations and the wealthy, we can make a once-in-a-generation investment in working America.
  
 And it adds zero dollars to the national debt.","""My Build Back Better Agenda costs zero dollars.""
 ","my build back better agenda costs zero dollars. instead of wasting money on tax breaks, loopholes, and tax evasion for big corporations and the wealthy, we can make a onceinchageneration investment inch working america. and it adds zero dollars to the national debt."
628,Figures published last week revealed 10% of criminal barristers involved in legally-aided work have withdrawn from those cases in the past year.,10% of criminal barristers have quit in the past year.,figures published last week revealed 10 of criminal barristers involved inch legallyaided work have withdrawn from those cases inch the past year.
629,"High alert: Chicken infected from corona virus found in Bangalore today, kindly circulate the message and avoid consumption of chicken. Spread to your dear ones",Chicken infected from coronavirus found in Bangalore,"high alert chicken infected from corona virus found inch bangalore today, kindly circulate the message and avoid consumption of chicken. spread to your dear ones"
630,"DMK's briefcase is a wise, cunning driver",Kanimozhi’s car driver is the one who threatened Vijaya Sethupathi’s daughter following the 800 film controversy.,"dmks briefcase is a wise, cunning driver"
631,"Acting superstars doing lunger with an empty plate and mask on. Insulting of gurudwara sheab. Always insulting and making fool to public, who asked them to fake acting in gurunakaji temple","Acting super stars doing lunger with empty plate and mask On. Insulting of gurudwara sheab. Always insulting and making foolsto public , who asked them to fake acting in gurunakaji temple.","acting superstars doing lunger with an empty plate and mask on. insulting of gurudwara sheab. always insulting and making fool to public, who asked them to fake acting inch gurunakaji temple"
632,Mass crowd gathered at a rally in Bihar to listen to Yogi Adityanath Ji. The plains echoed with slogans of Jayshreeram,Mass crowd gathered at a rally in Bihar to listen to Yogi Adityanath Ji. The plains echoed with slogans of Jayshreeram,mass crowd gathered at a rally inch bihar to listen to yogi adityanath ji. the plains echoed with slogans of jayshreeram
633,The UK and EU are working together on sanctions and different measures are quicker to implement in some places than in others. On bank sanctions for instance we are leading the way. In other areas the EU is. The West is united - unlike the bit of Twitter still unhinged by Brexit,"The UK has sanctioned £258.8 billion of Russian bank assets, while the US has sanctioned £240 billion and the EU £38.8 billion.",the uk and eu are working together on sanctions and different measures are quicker to implement inch some places than inch others. on bank sanctions for instance we are leading the way. inch other areas the eu is. the west is united unlike the bit of twitter still unhinged by brexit
634,Gujarat ke election me Muslims ko voting karne se police aur BJP walo ne roka,Muslims prevented from voting in Gujarat by BJP and police,gujarat ke election me muslims ko voting karne se police aur bjp walo ne roka
635,"7 years of Tory rule has crushed the NHS and is causing deaths & illnesses throughout the country. We must stand up for the NHS and vote out the Tories at the next general election. Once its gone, its gone","There are 5,240 fewer mental health nurses since 2010.","7 years of tory rule has crushed the nhs and is causing deaths illnesses throughout the country. we must stand up for the nhs and vote out the tories at the next general election. once its gone, its gone"
636,"The British have always acknowledged the impact of ancient Indian civilization! At the funeral services of the late Queen Elizabeth II, Sanskrit shlokas being recited for the well being of her soul!
 #QueenElizabeth #Queen","The British have always acknowledged the impact of ancient Indian civilization! At the funeral services of the late Queen Elizabeth II, Sanskrit shlokas being recited for the well being of her soul!","the british have always acknowledged the impact of ancient indian civilization! at the funeral services of the late queen elizabeth ii, sanskrit shlokas being recited for the well being of her soul! queenelizabeth queen"
637,Muhammad owned many slaves. Robert E. Lee was against slavery. So why are we tearing down statues instead of mosques?,"Says ""Muhammad owned many slaves"" while Robert E. Lee was ""against slavery.""",muhammad owned many slaves. robert e. lee was against slavery. so why are we tearing down statues instead of mosques?
638,may help with the possible negative affects [sic],Homeopathic nosodes could help with vaccine side effects.,may help with the possible negative affects sic
639,"This product has Ginger extraction that helps your hair follicles to be strong and make your hair fuller and thicker.
How to works>> https://hairyformula.com/products/gingergro-hairreborn-oil",Using ginger can regrow your hair in 21 days,this product has ginger extraction that helps your hair follicles to be strong and make your hair fuller and thicker. how to works hypertext transfer protocol securehairyformula.comproductsgingergrohairrebornoil
640,"A poll watcher in Philly was just wrongfully prevented from entering the polling place
 
 #StopTheSteal","Poll watchers in Philadelphia prevented from entering polling places.
",a poll watcher inch philly was just wrongfully prevented from entering the polling place stopthesteal
641,"The Kyiv regime's bogus claim that Russian missile hit a maternity hospital.
Laura Ru writes :
More info is emerging about the fake scene staged at the Mariupol hospital. The actress/model, Marianna Podgurskaya, is shown in younger, non-pregnant days. She was recognized by acquaintances who then discussed her Mariupol performance on Signal.",The Russian attack on a Mariupol maternity hospital was staged,"the kyiv regimes bogus claim that russian missile hit a maternity hospital. laura ru writes more info is emerging about the fake scene staged at the mariupol hospital. the actressmodel, marianna podgurskaya, is shown inch younger, nonpregnant days. she was recognized by acquaintances who then discussed her mariupol performance on signal."
642,"MSNBC Actually Said on the air ""I hope enough people die from CoronaVirus that it harms Trump's re-election""

No Shame.",“MSNBC actually said on air ‘I hope enough people die from coronavirus that it harms Trump’s re-election.’”,msnbc actually said on the air i hope enough people die from coronavirus that it harms trumps reelection no shame.
643,As humanity moves further toward a post-carbon future people must accept things like eating meat and property ownership is simply unsustainable,"A tweet from the World Economic Forum reports its founder, Klaus Schwab, as saying that as humanity moves further toward a post-carbon future people must accept things like eating meat and property ownership are simply unsustainable.",as humanity moves further toward a postcarbon future people must accept things like eating meat and property ownership is simply unsustainable
644,"COVID deaths during July and August per year: 
 
  England: 
 2022: 10,847
 2021: 4,782
 2020: 1,734
 
  Italy:
 2022: 7,242
 2021: 1,655
 2020: 716
 
  Spain: 
 2022: 4,694
 2021: 3,465
 2020: 739
 
 The end of the pandemic is NOT in sight. 
 
 Sources: GOVUK (60 day deaths), OurWorldinData.",More than twice as many people died of Covid-19 in July and August 2022 than in the same months in 2021 and 2020.,"covid deaths during july and august per year england 2022 10,847 2021 4,782 2020 1,734 italy 2022 7,242 2021 1,655 2020 716 spain 2022 4,694 2021 3,465 2020 739 the end of the pandemic is not inch sight. sources govuk 60 day deaths, ourworldindata."
645,"Trucker's (sic) that refuse the Jab have refused to drive into mandate states and cities... this is why the ports, rail, and warehouses are all backed up,",Resistance to COVID-19 vaccine mandates is responsible for supply chain backups,"truckers sic that refuse the jab have refused to drive into mandate states and cities... this is why the ports, rail, and warehouses are all backed up,"
646,In Germany we face the force [sic] vaccination on the 15th!! So in 11 days the police will have the right to come into my home and force the needle into my body. We need help!,German police can enter homes and forcibly vaccinate people.,inch germany we face the force sic vaccination on the 15th!! so inch 11 days the police will have the right to come into my home and force the needle into my body. we need help!
647,This is huge and should be all over MSM!!!!,This is huge and should be all over MSM!!!!,this is huge and should be all over msm!!!!
648,"BREAKING: Former FBI agent on the ground at U.S. Capitol just texted me and confirmed that at least 1 ""bus load"" of Antifa thugs infiltrated peaceful Trump demonstrators as part of a false Trump flag ops",Antifa members bused to the Capitol for a false-flag operation,breaking former fbi agent on the ground at you.s. capitol just texted me and confirmed that at least 1 bus load of antifa thugs infiltrated peaceful trump demonstrators as part of a false trump flag ops
649,"Mandatory Vaccination for the EU Just Went Through Under the Radar It does not matter if the pandemic is over and the vaccine is proven fraudulent, they are going for it anyway.All ATMs will be replaced by QR code ATMs in the near future, Belgium is already installing them",The European Union launch mandatory vaccination,"mandatory vaccination for the eu just went through under the radar it does not matter if the pandemic is over and the vaccine is proven fraudulent, they are going for it anyway.all atms will be replaced by qr code atms inch the near future, belgium is already installing them"
650,"#MeraBharatMahaan 
 
 This can happen only in India...
 @ipsvijrk
  @ipskabra
  @hvgoenka
  @RoflGandhi_
  @cartoonnetwork","#MeraBharatMahaan ☺️

This can happen only in India...🤣🤣🤣😂😂

@ipsvijrk
 
@ipskabra
 
@hvgoenka
 
@RoflGandhi_
 
@cartoonnetwork",merabharatmahaan this can happen only inch india... ipsvijrk ipskabra hvgoenka roflgandhi cartoonnetwork
651,"Fun EV fact. To match the 2,000 cars that a typical filling station can service in 12 hours, an EV charging station requires 600 50-kW chargers at an estimated cost of $24 million and a supply of 30 megawatts of power from the grid.
For. Each. Filling. Station. In. America.",The claim: Replacing all U.S. gas stations with equal capacity EV charging stations would require significant resources,"fun ev fact. to match the 2,000 cars that a typical filling station can service inch 12 hours, an ev charging station requires 600 50kw chargers at an estimated cost of 24 million and a supply of 30 megawatts of power from the grid. for. each. filling. station. inch. america."
652,PBBM SPEAKS ABOUT MARCOS GOLD FOR THE PHILIPPINES (REACTION & COMMENT),"On his deathbed, Ferdinand Marcos mentioned that 3% of his wealth would go to his family while the remaining 97% would go to the Filipino people.",pbbm speaks about marcos gold for the philippines reaction comment
653,EXTREME HAIR GROWTH DIY. Massage your scalp with a mix of coconut oil & Aloevera Gel for 30 minutes before bathing. It helps you in getting long voluminous lustrous hair naturally,"An Instagram post recommends massaging the scalp with coconut oil and aloe vera gel before bathing to get long, voluminous and lustrous hair. We fact-checked and found the claim to be half true.",extreme hair growth diy. massage your scalp with a mix of coconut oil aloevera gel for 30 minutes before bathing. it helps you inch getting long voluminous lustrous hair naturally
654,"All the death harm and financial destruction done to our country over 2 years 3 months for the death of 83 people You should be in prison 
 @ScottMorrisonMP
  and the Premiers. ALL OF YOU",Only 83 people have died solely from COVID-19 in Australia since the start of the pandemic.,all the death harm and financial destruction done to our country over 2 years 3 months for the death of 83 people you should be inch prison scottmorrisonmp and the premiers. all of you
655,"Art of camel barbering, Pakistan","A picture of a camel with art on its fur is viral on Facebook, writing, “Art of camel barbering, Pakistan.”","art of camel barbering, pakistan"
656,"SOCIAL SECURITY ADMIN plans to pay SS benefits to ILLEGALS from your SS TRUST FUND!
Must be STOPPED!
(The Seniors Coalition)",The claim: The Social Security Administration will allow workers in the country illegally to claim benefits,social security admin plans to pay ss benefits to illegals from your ss trust fund! must be stopped! the seniors coalition
657,"Hello. If anyone is looking for this sweet boy, found him lying on the side road in #cookstown He was hit by a car in a hit and run incident. I took him to the vet he is not chipped I know someone is looking for him. Please bump this post to help me find the owner","An injured dog has been found on a side road after a hit-and-run incident in Cookstown, Northern Ireland.","hello. if anyone is looking for this sweet boy, found him lying on the side road inch cookstown he was hit by a car inch a hit and run incident. i took him to the vet he is not chipped i know someone is looking for him. please bump this post to help me find the owner"
658,Culture decides the fate of civilisations - recurring theme of history. Appeal to Tamilnadu youth to strengthen the Hands of modi ji in protecting our culture,Congress was literally slowing our growth !,culture decides the fate of civilisations recurring theme of history. appeal to tamilnadu youth to strengthen the hands of modi ji inch protecting our culture
659,Today's Tambaram Ram Temple demolition by the anti Hindu and DMK. Thanks for the Hindus who voted for him,Today’s Tambaram Ram Temple demolition by the  anti Hindu and DMK. Thanks for the Hindus who voted for him,todays tambaram random access memory temple demolition by the anti hindu and dmk. thanks for the hindus who voted for him
